region_code,region_name,division_code,division_name,state_abbr,state_code,state_name,year,age_group,race,popestimate
2,Midwest,3,East North Central,IN,18,Indiana,2017,6,6,5413
2,Midwest,3,East North Central,IN,18,Indiana,2017,3,4,25130
2,Midwest,3,East North Central,IN,18,Indiana,2018,1,6,18457
2,Midwest,3,East North Central,IN,18,Indiana,2019,4,6,6782
2,Midwest,3,East North Central,IN,18,Indiana,2018,5,7,29365
2,Midwest,3,East North Central,IN,18,Indiana,2017,5,1,752983
2,Midwest,3,East North Central,IN,18,Indiana,2017,4,4,17498
2,Midwest,3,East North Central,IN,18,Indiana,2019,2,3,2211
2,Midwest,3,East North Central,IN,18,Indiana,2017,2,5,437
2,Midwest,3,East North Central,IN,18,Indiana,2017,5,5,234
2,Midwest,3,East North Central,IN,18,Indiana,2017,1,3,1494
2,Midwest,3,East North Central,IN,18,Indiana,2017,4,6,6601
2,Midwest,3,East North Central,IN,18,Indiana,2017,3,7,69120
2,Midwest,3,East North Central,IN,18,Indiana,2019,5,7,30928
2,Midwest,3,East North Central,IN,18,Indiana,2018,6,7,22573
2,Midwest,3,East North Central,IN,18,Indiana,2017,6,5,194
2,Midwest,3,East North Central,IN,18,Indiana,2019,3,1,634350
2,Midwest,3,East North Central,IN,18,Indiana,2018,4,2,74715
2,Midwest,3,East North Central,IN,18,Indiana,2017,4,7,45982
2,Midwest,3,East North Central,IN,18,Indiana,2019,6,4,11605
2,Midwest,3,East North Central,IN,18,Indiana,2017,2,4,27226
2,Midwest,3,East North Central,IN,18,Indiana,2018,2,2,99348
2,Midwest,3,East North Central,IN,18,Indiana,2019,5,5,242
2,Midwest,3,East North Central,IN,18,Indiana,2019,3,5,402
2,Midwest,3,East North Central,IN,18,Indiana,2019,3,6,9511
2,Midwest,3,East North Central,IN,18,Indiana,2018,1,5,269
2,Midwest,3,East North Central,IN,18,Indiana,2017,5,2,69133
2,Midwest,3,East North Central,IN,18,Indiana,2019,3,3,1851
2,Midwest,3,East North Central,IN,18,Indiana,2018,3,2,81327
2,Midwest,3,East North Central,IN,18,Indiana,2018,1,2,70537
2,Midwest,3,East North Central,IN,18,Indiana,2019,6,5,226
2,Midwest,3,East North Central,IN,18,Indiana,2018,4,3,2156
2,Midwest,3,East North Central,IN,18,Indiana,2017,3,6,8765
2,Midwest,3,East North Central,IN,18,Indiana,2017,3,1,630341
2,Midwest,3,East North Central,IN,18,Indiana,2018,3,3,1832
2,Midwest,3,East North Central,IN,18,Indiana,2017,2,1,660917
2,Midwest,3,East North Central,IN,18,Indiana,2019,1,4,28357
2,Midwest,3,East North Central,IN,18,Indiana,2019,4,5,299
2,Midwest,3,East North Central,IN,18,Indiana,2018,2,3,2131
2,Midwest,3,East North Central,IN,18,Indiana,2018,4,6,6661
2,Midwest,3,East North Central,IN,18,Indiana,2017,1,5,268
2,Midwest,3,East North Central,IN,18,Indiana,2019,6,7,24338
2,Midwest,3,East North Central,IN,18,Indiana,2019,6,3,2551
2,Midwest,3,East North Central,IN,18,Indiana,2018,4,5,297
2,Midwest,3,East North Central,IN,18,Indiana,2019,5,1,751894
2,Midwest,3,East North Central,IN,18,Indiana,2018,2,7,69205
2,Midwest,3,East North Central,IN,18,Indiana,2019,4,4,19719
2,Midwest,3,East North Central,IN,18,Indiana,2017,2,3,2074
2,Midwest,3,East North Central,IN,18,Indiana,2018,4,4,18671
2,Midwest,3,East North Central,IN,18,Indiana,2018,6,1,945887
2,Midwest,3,East North Central,IN,18,Indiana,2017,1,4,26072
2,Midwest,3,East North Central,IN,18,Indiana,2018,1,7,57779
2,Midwest,3,East North Central,IN,18,Indiana,2019,2,5,434
2,Midwest,3,East North Central,IN,18,Indiana,2018,5,3,2588
2,Midwest,3,East North Central,IN,18,Indiana,2018,6,3,2368
2,Midwest,3,East North Central,IN,18,Indiana,2018,2,5,432
2,Midwest,3,East North Central,IN,18,Indiana,2018,3,4,26595
2,Midwest,3,East North Central,IN,18,Indiana,2017,4,1,706029
2,Midwest,3,East North Central,IN,18,Indiana,2019,5,2,70763
2,Midwest,3,East North Central,IN,18,Indiana,2018,1,3,1483
2,Midwest,3,East North Central,IN,18,Indiana,2017,3,2,80093
2,Midwest,3,East North Central,IN,18,Indiana,2017,1,2,70290
2,Midwest,3,East North Central,IN,18,Indiana,2019,2,7,70926
2,Midwest,3,East North Central,IN,18,Indiana,2019,4,7,51290
2,Midwest,3,East North Central,IN,18,Indiana,2019,1,6,19245
2,Midwest,3,East North Central,IN,18,Indiana,2018,6,2,65147
2,Midwest,3,East North Central,IN,18,Indiana,2019,1,7,60542
2,Midwest,3,East North Central,IN,18,Indiana,2018,1,1,483096
2,Midwest,3,East North Central,IN,18,Indiana,2019,1,5,277
2,Midwest,3,East North Central,IN,18,Indiana,2018,4,1,688303
2,Midwest,3,East North Central,IN,18,Indiana,2019,5,6,5745
2,Midwest,3,East North Central,IN,18,Indiana,2018,5,4,11897
2,Midwest,3,East North Central,IN,18,Indiana,2019,4,2,74306
2,Midwest,3,East North Central,IN,18,Indiana,2017,5,3,2495
2,Midwest,3,East North Central,IN,18,Indiana,2017,6,1,920763
2,Midwest,3,East North Central,IN,18,Indiana,2019,5,3,2630
2,Midwest,3,East North Central,IN,18,Indiana,2019,1,2,70381
2,Midwest,3,East North Central,IN,18,Indiana,2019,2,2,102966
2,Midwest,3,East North Central,IN,18,Indiana,2017,6,2,62577
2,Midwest,3,East North Central,IN,18,Indiana,2017,4,2,74521
2,Midwest,3,East North Central,IN,18,Indiana,2018,3,6,9148
2,Midwest,3,East North Central,IN,18,Indiana,2017,3,5,356
2,Midwest,3,East North Central,IN,18,Indiana,2017,2,6,14024
